Entity,Code,Year,Schizophrenia disorders (share of population) - Sex: Both - Age: Age-standardized,Depressive disorders (share of population) - Sex: Both - Age: Age-standardized,Anxiety disorders (share of population) - Sex: Both - Age: Age-standardized,Bipolar disorders (share of population) - Sex: Both - Age: Age-standardized,Eating disorders (share of population) - Sex: Both - Age: Age-standardized
United States,USA,1990,0.43585777,3.7964869,5.241197,0.6061742,0.40408042
United States,USA,1991,0.4393758,3.9025552,5.2415867,0.605942,0.41853958
United States,USA,1992,0.4425686,4.006986,5.2477794,0.6057076,0.431534
United States,USA,1993,0.4452558,4.106528,5.2590055,0.60548025,0.44196212
United States,USA,1994,0.4472567,4.1981354,5.274653,0.60527015,0.4491788
United States,USA,1995,0.44839168,4.2789063,5.2937264,0.60505545,0.45229667
United States,USA,1996,0.4488745,4.346033,5.452494,0.6048532,0.4522142
United States,USA,1997,0.4491345,4.3987412,5.8007646,0.60465616,0.4511574
United States,USA,1998,0.4493081,4.4390383,6.2089686,0.6044661,0.4495324
United States,USA,1999,0.44953126,4.4677186,6.5479445,0.60427856,0.44814983
United States,USA,2000,0.44993713,4.4857907,6.6883707,0.60409266,0.44769108
United States,USA,2001,0.4514257,4.493341,6.636507,0.6039308,0.44876918
United States,USA,2002,0.4542209,4.492336,6.5100694,0.60377705,0.45059964
United States,USA,2003,0.45744422,4.486678,6.3478065,0.6036286,0.4528027
United States,USA,2004,0.46022034,4.4822283,6.188496,0.6034766,0.45479447
United States,USA,2005,0.46167195,4.484824,6.0706863,0.6033204,0.45619625
United States,USA,2006,0.4620123,4.491761,6.000551,0.60310584,0.45714864
United States,USA,2007,0.4620453,4.4984174,5.9503455,0.60281783,0.4582168
United States,USA,2008,0.46179056,4.503609,5.908171,0.60252017,0.4592264
United States,USA,2009,0.4612694,4.5064077,5.8622723,0.60226715,0.45985898
United States,USA,2010,0.4604998,4.5064754,5.8007455,0.6021163,0.46008015
United States,USA,2011,0.45854303,4.495158,5.6901655,0.6020305,0.45549324
United States,USA,2012,0.45496657,4.4685616,5.5317607,0.6019393,0.4452832
United States,USA,2013,0.450556,4.4357715,5.3658276,0.601847,0.4330943
United States,USA,2014,0.4460982,4.404113,5.232689,0.60175693,0.4229443
United States,USA,2015,0.4423769,4.3821406,5.172533,0.60166377,0.41873553
United States,USA,2016,0.43641692,4.372808,5.168079,0.601451,0.42221028
United States,USA,2017,0.43179995,4.369103,5.1753254,0.60123175,0.4262121
United States,USA,2018,0.4318861,4.369584,5.342051,0.601198,0.42610255
United States,USA,2019,0.43364868,4.375998,5.6977477,0.6012978,0.42435044
Australia,AUS,1990,0.38909754,4.3984447,5.746219,1.1160647,0.7187702
Australia,AUS,1991,0.38887236,4.4271917,5.655439,1.1161371,0.72221917
Australia,AUS,1992,0.38868392,4.4533386,5.569575,1.1162119,0.72482026
Australia,AUS,1993,0.38853744,4.475146,5.4921036,1.1162795,0.72893107
Australia,AUS,1994,0.38843122,4.4959636,5.4266415,1.1163439,0.7317704
Australia,AUS,1995,0.38836062,4.515698,5.3766356,1.1164132,0.7358509
Australia,AUS,1996,0.38833362,4.524212,5.32893,1.116486,0.74315125
Australia,AUS,1997,0.38834938,4.5214906,5.2749786,1.1165645,0.7553975
Australia,AUS,1998,0.38839012,4.5178895,5.224641,1.116632,0.770639
Australia,AUS,1999,0.38843063,4.5207424,5.1880302,1.116689,0.7853584
Australia,AUS,2000,0.38845477,4.5388155,5.175044,1.1167352,0.7977668
Australia,AUS,2001,0.38848075,4.58546,5.215392,1.1176239,0.81825
Australia,AUS,2002,0.38853607,4.65675,5.3088007,1.1196815,0.85325265
Australia,AUS,2003,0.3885987,4.7298746,5.4199343,1.1221255,0.89287037
Australia,AUS,2004,0.3886471,4.790833,5.5135145,1.1241834,0.9279396
Australia,AUS,2005,0.3886707,4.817139,5.5542226,1.1250675,0.9504217
Australia,AUS,2006,0.38865405,4.8088183,5.5622044,1.1250802,0.9611142
Australia,AUS,2007,0.38861,4.7867126,5.5775933,1.125079,0.96978116
Australia,AUS,2008,0.38855332,4.7543907,5.5950637,1.1250721,0.97864956
Australia,AUS,2009,0.38850445,4.7198935,5.6093774,1.125063,0.98612726
Australia,AUS,2010,0.38849422,4.6904297,5.615126,1.1250472,0.9927631
Australia,AUS,2011,0.38851094,4.661994,5.6058693,1.1250392,0.99799436
Australia,AUS,2012,0.3885316,4.630723,5.5849586,1.1250232,1.0032136
Australia,AUS,2013,0.3885528,4.5981283,5.561541,1.1250172,1.0073591
Australia,AUS,2014,0.38856968,4.56489,5.544875,1.1250142,1.0123483
Australia,AUS,2015,0.38857755,4.5340767,5.5441623,1.1250105,1.0158271
Australia,AUS,2016,0.38852575,4.4401946,5.67749,1.12502,1.0205263
Australia,AUS,2017,0.38846922,4.3608074,5.812073,1.1250321,1.0254059
Australia,AUS,2018,0.38851777,4.3602886,5.8207517,1.125041,1.0284127
Australia,AUS,2019,0.3886459,4.382458,5.8151646,1.1250612,1.0316882
Cambodia,KHM,1990,0.25721848,3.2458868,4.4273787,0.3188487,0.06097099
Cambodia,KHM,1991,0.257687,3.248624,4.43335,0.31882608,0.060956083
Cambodia,KHM,1992,0.2581235,3.2509215,4.438597,0.31880188,0.061035898
Cambodia,KHM,1993,0.2585036,3.2495809,4.443019,0.3187769,0.060923122
Cambodia,KHM,1994,0.25880757,3.249245,4.4462905,0.3187523,0.06092685
Cambodia,KHM,1995,0.25901923,3.2481081,4.447647,0.3187266,0.061028954
Cambodia,KHM,1996,0.25914422,3.2426794,4.448514,0.3187001,0.061019752
Cambodia,KHM,1997,0.25922862,3.2332764,4.4499125,0.31867123,0.060991284
Cambodia,KHM,1998,0.25930926,3.2200644,4.451124,0.3186397,0.06114359
Cambodia,KHM,1999,0.25942338,3.2046967,4.4515805,0.31860587,0.06132475
Cambodia,KHM,2000,0.25960556,3.1890485,4.450752,0.31857264,0.061467435
Cambodia,KHM,2001,0.26005557,3.1725385,4.448669,0.31853944,0.061890267
Cambodia,KHM,2002,0.26082954,3.1519523,4.445992,0.31850561,0.06256521
Cambodia,KHM,2003,0.26174468,3.13039,4.4434304,0.3184733,0.06374645
Cambodia,KHM,2004,0.26261827,3.1072328,4.441776,0.31843832,0.064917386
Cambodia,KHM,2005,0.2632661,3.085688,4.441687,0.3184039,0.066129826
Cambodia,KHM,2006,0.26374397,3.0658143,4.4478507,0.31836626,0.06707612
Cambodia,KHM,2007,0.2642355,3.0443308,4.461773,0.31832823,0.06867443
Cambodia,KHM,2008,0.26474884,3.0221453,4.4794455,0.31829247,0.07009853
Cambodia,KHM,2009,0.26529345,3.0051322,4.4968405,0.31825417,0.0713225
Cambodia,KHM,2010,0.26587668,2.9939137,4.509909,0.31821713,0.07247338
Cambodia,KHM,2011,0.26680377,2.9866965,4.521468,0.31817764,0.073688425
Cambodia,KHM,2012,0.26816463,2.9800644,4.5353184,0.31814003,0.0747841
Cambodia,KHM,2013,0.26964334,2.97391,4.5490227,0.31810558,0.076260164
Cambodia,KHM,2014,0.2709234,2.9690957,4.5601954,0.31807196,0.07739578
Cambodia,KHM,2015,0.27168417,2.9656339,4.566454,0.31804135,0.078898154
Cambodia,KHM,2016,0.27157518,2.9648023,4.5671954,0.31801122,0.07996954
Cambodia,KHM,2017,0.27135962,2.9644604,4.5659227,0.31798357,0.08171951
Cambodia,KHM,2018,0.27204287,2.9594884,4.569771,0.31796005,0.08276531
Cambodia,KHM,2019,0.27349776,2.9500995,4.579762,0.3179395,0.08394735
Cameroon,CMR,1990,0.21368168,4.4880104,3.1782563,0.53447235,0.11381999
Cameroon,CMR,1991,0.21354355,4.493292,3.1770787,0.53447425,0.11175126
Cameroon,CMR,1992,0.21338093,4.4985957,3.1762443,0.53447604,0.10984698
Cameroon,CMR,1993,0.2132104,4.5055413,3.175572,0.5344757,0.10835289
Cameroon,CMR,1994,0.21305284,4.5138636,3.1751812,0.5344751,0.10712598
Cameroon,CMR,1995,0.21292765,4.521515,3.175096,0.5344743,0.10578358
Cameroon,CMR,1996,0.2127128,4.53307,3.175548,0.53447425,0.10479954
Cameroon,CMR,1997,0.21234842,4.550174,3.1766543,0.5344745,0.104135066
Cameroon,CMR,1998,0.21194494,4.57134,3.177831,0.53447473,0.102751605
Cameroon,CMR,1999,0.21161701,4.5883064,3.1788607,0.53447515,0.10217925
Cameroon,CMR,2000,0.2114777,4.598987,3.1794012,0.5344757,0.101992704
Cameroon,CMR,2001,0.21155974,4.60452,3.1801167,0.5344759,0.102391556
Cameroon,CMR,2002,0.21176887,4.610356,3.1816747,0.5344762,0.10296138
Cameroon,CMR,2003,0.21202484,4.6142535,3.1833048,0.53447646,0.10372773
Cameroon,CMR,2004,0.2122499,4.619403,3.1846266,0.5344767,0.10408546
Cameroon,CMR,2005,0.21236464,4.6199436,3.185105,0.53447634,0.10468794
Cameroon,CMR,2006,0.21233915,4.621963,3.1847813,0.53447527,0.1048038
Cameroon,CMR,2007,0.21223044,4.6237364,3.1843863,0.53447354,0.104823016
Cameroon,CMR,2008,0.21208769,4.6258183,3.183966,0.53447115,0.10505517
Cameroon,CMR,2009,0.21196279,4.6268516,3.18396,0.53446895,0.10490822
Cameroon,CMR,2010,0.2119071,4.6251526,3.1846445,0.53446627,0.10541422
Cameroon,CMR,2011,0.21191093,4.6212707,3.1870515,0.5344631,0.10564394
Cameroon,CMR,2012,0.21192804,4.617579,3.1913352,0.5344593,0.10616123
Cameroon,CMR,2013,0.21195412,4.6105685,3.1962297,0.5344554,0.10667735
Cameroon,CMR,2014,0.21198775,4.604289,3.2007647,0.5344518,0.10791998
Cameroon,CMR,2015,0.21202645,4.6013966,3.203826,0.5344484,0.10874959
Cameroon,CMR,2016,0.21221761,4.5969257,3.2095976,0.534445,0.10938865
Cameroon,CMR,2017,0.21246348,4.594584,3.2144318,0.5344416,0.11081621
Cameroon,CMR,2018,0.21273689,4.5964036,3.2105591,0.5344389,0.11125524
Cameroon,CMR,2019,0.21315666,4.6046395,3.1999922,0.5344366,0.112020984
